,title,author,label
87,Trump Fans Rally Across the Nation to Support the President - The New York Times,Jack Healy,0
89,11 Fiction Podcasts Worth a Listen - The New York Times,Amanda Hess,0
90,Mike Birbiglia’s 6 Tips for Making It Small in Hollywood. Or Anywhere. - The New York Times,Mike Birbiglia,0
92,"Venezuela Muzzles Legislature, Moving Closer to One-Man Rule - The New York Times",Nicholas Casey and Patricia Torres,0
94,Breitbart News Daily: Trump Boom - Breitbart,Breitbart News,0
95,White House Confirms More Gitmo Transfers Before Obama Leaves Office,Edwin Mora,0
97,Poll: Most Voters Have Not Heard of Democratic 2020 Election Candidates - Breitbart,Katherine Rodriguez,0
98,Migrants Confront Judgment Day Over Old Deportation Orders - The New York Times,Vivian Yee,0
99,"M.I.T., N.Y.U. and Yale Are Sued Over Retirement Plan Fees - The New York Times",Tara Siegel Bernard,0
101,American Drivers Regain Appetite for Gas Guzzlers - The New York Times,Matt Richtel,0
102,"Hillary Clinton Builds $150 Million War Chest, Doubling Donald Trump - The New York Times",Nicholas Confessore and Rachel Shorey,0
104,All 100 Senators Contacted Russian Government This Week,Joel B. Pollak,0
106,"Washington State Takes 10 Refugees, 0 Muslim Rest of Country Takes 189 Refugees, 151 Muslim - Breitbart",Michael Patrick Leahy,0
108,"NCAA, Big 12 Keeps Watchful Eye on Texas Bathroom Bill - Breitbart",Warner Todd Huston,0
109,"Massive ESPN Financial, Subscriber Losses Drag Down Disney’s First-Quarter Sales - Breitbart",Dylan Gwinn,0
110,"Megyn Kelly, Contract Set to Expire Next Year, Is Primed for the Big Show - The New York Times",John Koblin,0
111,Teacher Suspended for Allowing Students to Hit Trump Pinata for Cinco de Mayo,Katherine Rodriguez,0
113,Snap Shares Leap 44% in Debut as Investors Doubt Value Will Vanish - The New York Times,Michael J. de la Merced,0
115,"TV Series About ’First Female MLB Pitcher’ Canned After One, Low-Rated Season - Breitbart",Warner Todd Huston,0
116,"Seeking Best Fit, Women’s Final Four Returns to Friday-Sunday - The New York Times",Jeré Longman,0
117,A Proposal for a Canadian National Bird Ruffles Feathers - The New York Times,Ian Austen,0
118,Review: Beyoncé Makes ‘Lemonade’ Out of Marital Strife - The New York Times,Jon Pareles,0
119,"Trump to Ask for Sharp Increases in Military Spending, Officials Say - The New York Times","Glenn Thrush, Kate Kelly and Maggie Haberman",0
123,Taiwan Responds After China Sends Carrier to Taiwan Strait - The New York Times,Michael Forsythe and Chris Buckley,0
127,Telescope That ‘Ate Astronomy’ Is on Track to Surpass Hubble - The New York Times,Dennis Overbye,0
128,Closed Afghan-Pakistani Border Is Becoming ‘Humanitarian Crisis’ - The New York Times,Mujib Mashal,0
129,TV Anchors Arrive at the White House for Lunch with Donald Trump - Breitbart,Kristina Wong,0
130,Pelosi: Republicans Should Tell Trump He’s ’Bringing Dishonor’ to the Presidency - Breitbart,Trent Baker,0
132,I Ignored Trump News for a Week. Here’s What I Learned. - The New York Times,Farhad Manjoo,0
133,Donald Trump Unveils Plan for Families in Bid for Women’s Votes - The New York Times,Nick Corasaniti and Maggie Haberman,0
136,"Montana Democrats Vote Against Bill Banning Sharia Law, Call It ’Repugnant’ - Breitbart",Ben Kew,0
139,It’s Official: Simone Biles Is the World’s Best Gymnast - The New York Times,"Victor Mather, Doug Mills and Chang W. Lee",0
147,Report: Illegal Aliens Forego Food Stamps to Stay off Trump’s Radar,AWR Hawkins,0
149,"Four killed, 10 Injured in Jerusalem Truck-Ramming Terror Attack",Aaron Klein,0
152,"Despite Strict Gun Control, One ’Child or Youth’ Shot Every Day in Ontario",AWR Hawkins,0
153,The Rise of the Internet Fan Bully - The New York Times,Amanda Hess,0
154,A Newly Vibrant Washington Fears That Trump Will Drain Its Culture - The New York Times,Jason Horowitz,0
155,Fed Holds Interest Rates Steady and Plans Slower Increases - The New York Times,Binyamin Appelbaum,0
157,The Latest Test for the White House? Pulling Off Its Easter Egg Roll - The New York Times,Julie Hirschfeld Davis,0
158,"Burlesque Dancer Fired, Investigated by Secret Service for Trump Assassination Tweet - Breitbart",Katherine Rodriguez,0
160,"For Cuomo and Christie, Parallel Paths to the Top, and Trouble When They Got There - The New York Times",Vivian Yee,0
165,Sears Agrees to Sell Craftsman to Stanley Black &amp Decker to Raise Cash - The New York Times,Michael J. de la Merced,0
166,Takata Chief Executive to Resign as Financial Pressure Mounts - The New York Times,Jonathan Soble,0
167,"Goodbye, for Good, to Black Sabbath - The New York Times",Christopher D. Shea,0
168,Teen ’Geisha Dolls’ Gang Busted for Armed Robberies - Breitbart,Adelle Nazarian,0
171,Price on Obamacare Replacement: ‘Nobody Will Be Worse Off Financially’ - Breitbart,Pam Key,0
174,Sports Writer: NFL Great Jim Brown’s Decades of Civil Rights Work is Erased for Saying Nice Things About Donald Trump - Breitbart,Warner Todd Huston,0
176,‘I Can Watch It on TV’: Excuses for Republicans Skipping a Donald Trump Convention - The New York Times,Jeremy W. Peters,0
180,Hijacking Ends Peacefully After Libyan Airliner Lands in Malta - The New York Times,Declan Walsh,0
181,You Don’t Like the Girls in ‘Girls’? That’s Its Genius. - The New York Times,Wesley Morris,0
182,Scientists Say Canadian Bacteria Fossils May Be Earth’s Oldest - The New York Times,Carl Zimmer,0
183,Pro-Government Forces Advance in Syria Amid Talk of U.S.-Russia Cooperation - The New York Times,Anne Barnard and Karam Shoumali,0
185,Work. Walk 5 Minutes. Work. - The New York Times,Gretchen Reynolds,0
187,Steve Harvey Talks Housing With President-Elect Trump - The New York Times,Sopan Deb,0
188,Coalition: U.S. Troops Fighting in Mosul Offensive ’Come Under Fire’,Edwin Mora,0
191,Mr. Trump’s Wild Ride - The New York Times,Robert Draper,0
199,Donald Trump’s Team Shows Few Signs of Post-Election Moderation - The New York Times,"Eric Lipton, Charlie Savage and Michael S. Schmidt",0
200,Miami Beach Tries to Tame Its Most Raucous Street (but the Fishbowl Drinks Can Stay) - The New York Times,Lizette Alvarez,0
202,"Donald Trump, the Unsinkable Candidate - The New York Times",Declan Walsh,0
205,EXCLUSIVE -- Family of Slain Border Patrol Agent Brian Terry Says Eric Holder Among ’The Real Criminals’ Responsible,Bob Price,0
206,Trump Tells Reporters: ‘Walls Work - Just Ask Israel’ - Breitbart,Adam Shaw,0
208,Commissioner Starts to Press Cleveland Indians About Logo - The New York Times,David Waldstein,0
211,Trump Attacks Senator’s Credibility Over Gorsuch’s Comments - The New York Times,"Jonathan Weisman, Eric Lichtblau and Charlie Savage",0
213,Art Laffer: ’Paul Ryan’s Just About Perfect Right Now’ - Breitbart,Trent Baker,0
217,California Senate Race Is a Tale of Diversity and a Flailing G.O.P. - The New York Times,Jennifer Medina,0
218,Exclusive: Source Says Megyn Kelly ‘Would Not Be Welcomed Back’ at Fox News,Tony Lee,0
219,"In Break With Precedent, Obama Envoys Are Denied Extensions Past Inauguration Day - The New York Times",Julie Hirschfeld Davis,0
220,How Will ‘Brexit’ Vote Go? Monty Python May Offer Clue - The New York Times,Sarah Lyall,0
222,Total Vetting Fail: Left-Wing Snowden Fan Girl Reality Winner Gets Access to Our NSA Secrets,John Hayward,0
224,"In Somalia, U.S. Escalates a Shadow War - The New York Times","Mark Mazzetti, Jeffrey Gettleman and Eric Schmitt",0
225,Free Care a ‘Blessing’ for Victims of Orlando Nightclub Attack - The New York Times,Alan Blinder,0
227,"Fed’s Challenge, After Raising Rates, May Be Existential - The New York Times",Eduardo Porter,0
230,F.A.A. Investigates Errant Flight Involving Harrison Ford - The New York Times,Christopher Mele,0
232,"Fed Raises Key Interest Rate, Citing Strengthening Economy - The New York Times",Binyamin Appelbaum,0
234,"As Trump Berates News Media, a New Strategy Is Needed to Cover Him - The New York Times",Jim Rutenberg,0
237,U.S. Drone Strike Targets Taliban Leader - The New York Times,Helene Cooper,0
240,Report: Megyn Kelly to Kick Off NBC Show with Kardashian Family Interview,Daniel Nussbaum,0
241,Your Local 1-Percenters May Not Be as Rich as You Think - The New York Times,Robert Frank and Karl Russell,0
243,"In Statement to Senate, Wells Fargo Chief Is ‘Deeply Sorry’ - The New York Times",Michael Corkery,0
244,CNN Statement Distances Network from Buzzfeed Fake News Dossier - Breitbart,Lucas Nolan,0
245,"C.E.O.s Ponder a New Game, With Trump’s Rules - The New York Times",Andrew Ross Sorkin,0
246,Spicer on Brady’s Stolen Jersey: ’Another Bad on the Press’ - Breitbart,Trent Baker,0
247,A Scaredy-Cat’s Investigation Into Why People Enjoy Fear - The New York Times,Steph Yin,0
249,Showdown Looms as U.S. Questions Chinese Deal for German Chip Designer - The New York Times,Paul Mozur,0
251,Trump Administration to Take Harder Tack on Trade With China - The New York Times,Mark Landler and Michael D. Shear,0
252,Pew: American Trust Level in Federal Government Plummets to Historic Lows - Breitbart,Penny Starr,0
255,Spicer to Reporter: ’We’re Going to Raise Our Hands Like Big Boys and Girls’ - Breitbart,Pam Key,0
256,Leaders Applaud Gorsuch Confirmation as ’Win for Pro-Life Movement’,Dr. Susan Berry,0
258,French Vogue’s March Cover Features a Transgender Model - The New York Times,Dana Thomas,0
259,Trump Veers From Party Line on Gun Control - The New York Times,Ashley Parker and David M. Herszenhorn,0
262,"At Chatsworth House, a Tale of Five Centuries - The New York Times",Elizabeth Paton,0
263,The Uncomfortable Love Affair Between Donald Trump and the New England Patriots - The New York Times,Mark Leibovich,0
264,John McCain Withdraws Support for Donald Trump After Disclosure of Recording - The New York Times,Alan Rappeport,0
265,"The Strange, Unending Limbo of Egypt’s Hosni Mubarak - The New York Times",Declan Walsh and Nour Youssef,0
268,"A Single Mom Escapes the Friend Zone, One Non-Date at a Time - The New York Times",Sharon Harrigan,0
269,Boeing Suits Up for Future of Spaceflight with New Spacesuit Design - Breitbart,Nate Church,0
270,Trump Floats an Olive Branch: Might Keep Parts of the Health Law - The New York Times,"Carl Hulse, Julie Hirschfeld Davis, Alan Rappeport and Maggie Haberman",0
271,WaPo Tries to Compare Elizabeth Warren Breaking Senate Rules to MILO Being Shut Down by Violent Riot - Breitbart,Breitbart Tech,0
272,A Crumpled School Bus Leaves Chattanooga Dazed - The New York Times,Alan Blinder,0
274,How the Fight for a National African-American Museum Was Won - The New York Times,Graham Bowley,0
275,Father of Manchester Suicide Bomber Arrested in Libya - Breitbart,Breitbart London,0
280,Al Sharpton to Dems: No Point Appealing to ‘Archie Bunker’ Trump Voters - Breitbart,Tony Lee,0
282,Democrats Jump on Sessions Resignation Band Wagon - Breitbart,Penny Starr,0
286,"North Carolina, Saturated and Surprised, Reels from Hurricane Matthew - The New York Times","Jess Bidgood, Alan Blinder and Jonathan M. Katz",0
287,The Lives They Loved: Submit Your Memories - The New York Times,The New York Times Magazine,0
289,"Achieving Mindfulness at Work, No Meditation Cushion Required - The New York Times",Matthew E. May,0
291,Confused by Chip Credit Cards? Get in Line - The New York Times,Karen Workman,0
293,Brooks: Trump ’Siding With a Foreign Leader Against the US President’ on Israel and Russia - Breitbart,Ian Hanchett,0
296,Germany Reacts to Merkel-Trump Visit: ‘Could Have Been a Lot Worse’ - The New York Times,Melissa Eddy,0
297,Justin Rose Outduels Henrik Stenson for Golf Gold Medal - The New York Times,Karen Crouse,0
298,Iceland’s Water Cure - The New York Times,Dan Kois,0
300,M.T.A. Shortens L Train Shutdown to 15 Months - The New York Times,Emma G. Fitzsimmons,0
301,What Time Will the Presidency Be Decided? - The New York Times,Nate Cohn,0
302,U.N. Relief Official Calls Crisis in Aleppo the ‘Apex of Horror’ - The New York Times,Rick Gladstone,0
303,"After Berkeley, Treat the Violent, Anti-Speech Left Like the KKK",Joel B. Pollak,0
305,Why Self-Help Guru James Altucher Only Owns 15 Things - The New York Times,Alex Williams,0
306,Trump’s Religious Liberty Order Gives Sessions Major Leeway - Breitbart,Ian Mason,0
308,"In Era of Trump, China’s President Champions Economic Globalization - The New York Times",Peter S. Goodman,0
310,Courts Disagree Over Michigan Vote Recount - The New York Times,Monica Davey,0
311,Bernie Sanders’s Feud With the Democratic Leadership Heats Up - The New York Times,Yamiche Alcindor,0
313,Russia Looks to Populate Its Far East. Wimps Need Not Apply. - The New York Times,Andrew Higgins,0
314,"The Johnson Amendment, Which Trump Vows to ‘Destroy,’ Explained - The New York Times",Jeremy W. Peters,0
315,Donald Trump to March for Life: ‘You Have My Full Support!’,Charlie Spiering,0
316,"Police Official Found Dead on Long Island, and Suicide Is Suspected - The New York Times",Rick Rojas and J. David Goodman,0
320,What It’s Like to Make It in Showbiz With Your Best Friend - The New York Times,Michael Paulson,0
321,Trump Nominates Neil Gorsuch to the Supreme Court - The New York Times,Julie Hirschfeld Davis and Mark Landler,0
323,Bidders Cast Doubt on Seriousness of Mexican Border Wall Projects,Ryan Saavedra,0
325,Israel Approves Additional Funding for Settlements in West Bank - The New York Times,Isabel Kershner,0
326,TX Gov Abbott: I Will Sign Legislation That Could Put Sheriffs of Sanctuary Cities in Jail - Breitbart,Pam Key,0
327,"Donald Trump Holds ‘Thank You’ Rally in Cincinnati, and Announces His Pick for Defense Secretary - The New York Times","Gardiner Harris, John Schwartz, Jackie Calmes and Jonathan Martin",0
328,Some Lawmakers Now Look to Bipartisanship on Health Care - The New York Times,Robert Pear and Michael D. Shear,0
329,Inside the Conservative Push for States to Amend the Constitution - The New York Times,Michael Wines,0
330,Donald Trump Tells N.R.A. Hillary Clinton Wants to Let Violent Criminals Go Free - The New York Times,Ashley Parker,0
331,"Pope Francis, Trump, Japan: Your Tuesday Briefing - The New York Times",Charles McDermid,0
332,#MayorsStand4All Day Touts Support for Illegal Immigrants,Lana Shadwick,0
334,Democrats Drag Out Jeff Sessions’ Confirmation Fight - Breitbart,Michelle Moons,0
339,"Australia Will Close Detention Center on Manus Island, but Still Won’t Accept Asylum Seekers - The New York Times",Brett Cole,0
340,Politico: Hillary Clinton Is Running Again - Breitbart,Breitbart News,0
342,Minnesota Cop Found Not Guilty in Philando Castile Shooting Trial,Lana Shadwick,0
346,"FLASHBACK - Reports: Obama’s 2008 Campaign Reps Talked with Iran, Hamas",Aaron Klein,0
349,Aya Cash: The First Time I Ate a Vegetable (I Was 22) - The New York Times,Aya Cash,0
351,"Serena Williams Prevails in Opener, No Problem - The New York Times",David Waldstein,0
352,’Soul Man’ Sam Moore ’Honored’ to Perform at Trump inauguration,Jerome Hudson,0
354,Chinese Government Not Concerned with Tough Talk from Trump Cabinet - Breitbart,John Hayward,0
355,Billionaire Is Reported Seized From Hong Kong Hotel and Taken Into China - The New York Times,Michael Forsythe,0
357,A Homebody Finds the Ultimate Home Office - The New York Times,Maggie Haberman,0
358,Ann Coulter Unloads on Paul Ryan’s ’Deeply Unpopular’ Obamacare 2.0 Bill - Breitbart,Katie McHugh,0
359,Transgender Bathroom Debate Turns Personal at a Vermont High School - The New York Times,Anemona Hartocollis,0
365,"In 77 Chaotic Minutes, Trump Defends ‘Fine-Tuned Machine’ - The New York Times","Michael D. Shear, Maggie Haberman and Glenn Thrush",0
366,One Police Shift: Patrolling an Anxious America - The New York Times,The New York Times,0
368,"Your Monday Evening Briefing: Brexit, Abortion, ‘Game of Thrones’ - The New York Times",Jonah Engel Bromwich and Sandra Stevenson,0
369,"EU Increases ‘Brexit Bill’ Demand to €100 Billion, Up From €60 Billion",Liam Deacon,0
370,Arianna Huffington’s Sleep Revolution Starts at Home - The New York Times,Bob Morris,0
374,"FBI’s Comey: WikiLeaks Is ‘Intelligence Porn,’ Not Journalism - Breitbart",Pam Key,0
375,Clare Waight Keller Is Named First Female Designer of Givenchy - The New York Times,Vanessa Friedman,0
377,Top NFL Draft Prospect Caleb Brantley Charged With Punching a Woman in the Face - Breitbart,Robert J. Marlow,0
380,Trump and G.O.P. Work to Win Repeal of Obama’s Health Act - The New York Times,Robert Pear and Jonathan Martin,0
381,Atlantic’s Goldberg: I’m ‘Not Confident’ Trump Can Handle ‘Matters of Life and Death’ - Breitbart,Pam Key,0
386,Peyton Manning Golfed with President Trump on Sunday,Dylan Gwinn,0
387,Obama Urges Donald Trump to Send ‘Signals of Unity’ to Minority Groups and Women - The New York Times,Julie Hirschfeld Davis,0
389,‘It’s Like a Miracle’: Woman Gives Birth Using Ovary Frozen Since Childhood - The New York Times,Kimiko De Freytas-Tamura,0
390,"UConn’s Recipe for Success Is to Run, Run and Run Some More - The New York Times",Jeré Longman,0
394,"The Stock Market Has Gone So High, It’s a Problem - The New York Times",Jeff Sommer,0
395,John Kerry Rejects Suggestions of U.S. Involvement in Turkey Coup - The New York Times,Gardiner Harris,0
396,Trump Aide Stephen Miller: The U.S. ’Has an Absolute Sovereign Right to Determine Who Can and Cannot Enter the Country’ - Breitbart,Jeff Poor,0
400,Maintaining a Sunny Spirit in the Face of Hardship - The New York Times,John Otis,0
401,Rush Limbaugh: Comey Firing an ’Epic Troll’ by Trump on Dems - Breitbart,Pam Key,0
402,Twitter Sues the Government to Block the Unmasking of an Account Critical of Trump - The New York Times,Mike Isaac,0
403,"Warriors, Resilient at Home, Cruise Against the Cavaliers - The New York Times",Scott Cacciola,0
404,Comey Letter on Clinton Email Is Subject of Justice Dept. Inquiry - The New York Times,"Adam Goldman, Eric Lichtblau and Matt Apuzzo",0
408,"Review: In Radiohead’s ‘A Moon Shaped Pool,’ Patient Perfectionism - The New York Times",Jon Pareles,0
411,Pulitzer Prizes: New York Times Wins 3 Daily News and ProPublica Share Public Service Award - The New York Times,Sydney Ember,0
412,"The Vanquished to Witness the Takeover: Bushes, Clintons Will Attend Donald Trump’s Inauguration - Breitbart",Matthew Boyle,0
413,"Speculation Over Possible Obama Pardon of Edward Snowden, Bowe Bergdahl and Chelsea Manning - Breitbart",Warner Todd Huston,0
414,Cheesy Mashed Potatoes for the Soul - The New York Times,Tejal Rao,0
417,"Man, 73, Shot Dead by Officer Had a Crucifix, Not a Gun, Police Say - The New York Times",Christine Hauser,0
418,Exclusive—Rep. Jim Jordan on Trump’s First 100 Days: ‘I Think We’re Off to a Great Start’ - Breitbart,Sean Moran,0
419,Haley: Attack on Syria ’One of the President’s Finest Hours’ - Breitbart,Pam Key,0
423,ISIS Uses Ramadan as Calling for New Terrorist Attacks - The New York Times,Ben Hubbard,0
424,’Daily Show’ Mocks ’Mahatma Blondie’ Megyn Kelly’s NBC Debut,Daniel Nussbaum,0
425,Health Care Bill’s Failure: Just Part of the ’Art of the Deal’ - Breitbart,Joel B. Pollak,0
426,Lewandowski: Comey ’a Liar’ - Looking to Sign Major Book Deal - Breitbart,Trent Baker,0
427,Kimberly Guilfoyle Discusses Potential White House Press Secretary Job in Interview,Ben Kew,0
429,"How the Obama Coalition Crumbled, Leaving an Opening for Trump - The New York Times",Nate Cohn,0
431,Pregnancy Changes the Brain in Ways That May Help Mothering - The New York Times,Pam Belluck,0
436,"Scarborough: Trump Poops His Pants, Calls It ’Modern Art’ - Breitbart",Pam Key,0
437,"When Cooking, Invest Time. Or Work. Not Both. - The New York Times",Mark Bittman,0
439,"Gorsuch, London, Republican Party: Your Thursday Evening Briefing - The New York Times",Karen Zraick and Sandra Stevenson,0
440,"Emma Morano, Last Person Born in 1800s, Dies - Breitbart",Daniel J. Flynn,0
441,Loserpalooza: 9 Craziest Scenes from Anti-Trump Protests - Breitbart,John Hayward,0
445,Visions of Life on Mars in Earth’s Depths - The New York Times,Kenneth Chang,0
446,"After Obama Cancels Talk, Rodrigo Duterte of Philippines Says He Regrets Slur - The New York Times",Christine Hauser,0
447,"New Jersey Will Increase Gas Tax 23¢, Ending Long Political Stalemate - The New York Times",Patrick McGeehan,0
448,ABC: Manchester Attack ’Likely to Inflame Anti-Islamic Sentiment’ - Breitbart,Ian Hanchett,0
451,The Jobs Americans Do - The New York Times,Binyamin Appelbaum,0
453,"Google Adds Jobs Section to Search Engine, Including Employer Ratings - Breitbart",Charlie Nash,0
454,Crying Jordan: The Meme That Just Won’t Die - The New York Times,Amanda Hess,0
455,Dem Rep Sánchez: Trump Has Used ’Fear’ of Muslims And Immigrants To Promote Policies That ’Undermine’ Our Values - Breitbart,Ian Hanchett,0
457,Shooting Victims’ Families Watch as Gun Measures Stall Once Again - The New York Times,Sheryl Gay Stolberg,0
459,Grassroots Coalition Shares ‘Many Questions and Concerns About Betsy DeVos’ with Senators,Dr. Susan Berry,0
461,Trump at Inaugural Balls: ’Now the Work Begins ... We Are Not Playing Games’ - Breitbart,Neil Munro,0
462,Trump’s Choice of Stephen Bannon Is Nod to Anti-Washington Base - The New York Times,Jeremy W. Peters,0
463,Media Outrage over White House ’Exclusion’ is Fake News - Breitbart,Joel B. Pollak,0
468,Response of Philippines President to Fatal Blast Raises Fears - The New York Times,Felipe Villamor,0
469,David Adjaye on Designing a Museum That Speaks a Different Language - The New York Times,Michael Kimmelman,0
472,Britain Reduces Terror Level One Notch to ‘Severe’ After Terror Cell Arrests,Oliver JJ Lane,0
473,"Mute and Alone, He Was Never Short of Kind Words or Friends - The New York Times",N. R. Kleinfield,0
477,Watch: Muslim Student Claims that Non-Believers Will Be Killed in Islamic Countries - Breitbart,Tom Ciccotta,0
484,Key Baylor Football Executive DeMarko Butler Fired in Texting Scandal - Breitbart,Robert J. Marlow,0
486,George Michael Wrestled With Fame. Frank Sinatra Had Some Advice. - The New York Times,Katie Rogers,0
487,"Sharon Olds, Laureate of Sexuality, Scrutinizes the Body in ‘Odes’ - The New York Times",Dwight Garner,0
491,‘They Will Have to Die Now’ - The New York Times,James Verini,0
494,Ann Coulter Hits Supposed ’Gay Icon’ Kathy Griffin on ISIS-Cribbed Antics,Ian Mason,0
496,Ten Famous People on What to Read This Summer - The New York Times,T Magazine,0
500,A $150 Million Stairway to Nowhere on the Far West Side - The New York Times,Ted Loos,0
503,Inquiries Cloud de Blasio’s Bid to Come Off as Strong Manager Before ’17 Race - The New York Times,J. David Goodman and William Neuman,0
505,"Bobby Hutcherson, Vibraphonist With Coloristic Range of Sound, Dies at 75 - The New York Times",Nate Chinen,0
507,Amnesty Advocates Boycott Agency Meetings When Pro-American Advocates Are Invited - Breitbart,Neil Munro,0
509,Ex-FLOTUS Michelle Obama: Trump Wants to Feed ’Crap’ to Your Kids,Warner Todd Huston,0
510,South Sudan Slides Closer to War as Gunfire Rumbles in Its Capital - The New York Times,Jacey Fortin and Jeffrey Gettleman,0
515,Bankrupt Puerto Rico Voting on U.S. Statehood - Breitbart,Chriss W. Street,0
516,Overwhelmed by ‘Brexit’? Here Are the Basics - The New York Times,"Niraj Chokshi, Daniel Victor and Sewell Chan",0
517,Seattle’s Gay Mayor Accused of Sexually Molesting Teens in the 1980s - Breitbart,Warner Todd Huston,0
518,Gender Fluidity on the Runways - The New York Times,Susan Chira,0
521,"In a Montana Bear Attack, Lessons on Hope, Survival and First Aid - The New York Times",Christine Hauser,0
522,‘What Is Best About America’ - The New York Times,Lela Moore and Sona Patel,0
523,The Pecan Steps Off the Pie Plate - The New York Times,David Tanis,0
524,When Barack Obama Plagiarized ’Don’t Tell Me Words Don’t Matter’ - Breitbart,Joel B. Pollak,0
